Tag	Type	ID	TPRX2P	LHX8	FOXQ1	PAX9	EGR2	ELK3	ETV5	FOXI1	KLF3	LHX4	ETV4	TLX3	PAX2	SOX10	PAX7	SP7	KLF12	HOXB2	ERG	ETS1	VSX1	GCM1	HNF1B	PAX6	IRF9	TBXT	FOXJ2	TBX21
TCGA-HT-7854-01	Central Nervous	TCGA-HT-7854-01	-9.9658	-2.5479	-0.8599	-4.6082	5.9651	4.0696	3.7625	-9.9658	4.8390	0.2029	0.3573	-9.9658	-6.5064	4.4483	-2.9324	-3.4580	2.7826	-3.3076	1.9601	3.5337	1.7954	-9.9658	-9.9658	6.9409	6.4408	-3.8160	3.4843	-3.3076
TCGA-DB-A4XH-01	Central Nervous	TCGA-DB-A4XH-01	-9.9658	-9.9658	-1.1811	-3.3076	1.8323	1.7009	3.4490	-9.9658	3.1797	-2.5479	-0.1993	-9.9658	-4.6082	3.9099	-3.6259	-3.3076	2.4198	-3.3076	1.4441	3.4411	-0.5332	-9.9658	-9.9658	4.0713	5.5519	-9.9658	2.4332	-3.6259
TCGA-VM-A8CA-01	Central Nervous	TCGA-VM-A8CA-01	-9.9658	-9.9658	-0.1345	-3.8160	2.9655	2.8301	4.0287	-9.9658	2.8799	-2.3884	3.0181	-9.9658	-4.6082	1.8604	-4.0350	-3.6259	1.9377	-1.4305	1.4388	2.7139	-0.8339	-9.9658	-4.2934	4.3653	5.7709	-3.3076	2.6208	-2.5479
TCGA-FG-7636-01	Central Nervous	TCGA-FG-7636-01	-9.9658	-4.6082	-3.1714	-3.4580	-0.0574	2.8014	2.8681	-4.6082	3.6782	-3.3076	-2.0529	-9.9658	-3.6259	6.7836	-3.8160	-4.0350	3.5875	-2.8262	0.0158	3.5212	-3.8160	-6.5064	-9.9658	4.6282	5.9371	-6.5064	3.2450	-4.0350
TCGA-QH-A6X3-01	Central Nervous	TCGA-QH-A6X3-01	-9.9658	-9.9658	-1.5951	-3.4580	4.7225	2.0569	1.9786	-9.9658	3.6872	-1.7322	-1.2828	-9.9658	-2.6349	2.9090	-5.0116	-2.3147	2.9281	-5.5735	0.6880	3.8177	-2.8262	-5.5735	-9.9658	5.3477	5.8022	-9.9658	3.3478	-5.5735
TCGA-TM-A84L-01	Central Nervous	TCGA-TM-A84L-01	-9.9658	-3.4580	1.0433	-4.6082	5.4578	3.1781	3.5657	-9.9658	3.8896	-2.3147	-0.3201	-9.9658	-4.6082	4.8115	-5.5735	-2.7274	1.5998	-0.9686	1.5563	3.1426	-2.7274	-6.5064	-5.5735	4.9127	6.4207	-9.9658	2.9469	-2.9324
TCGA-WH-A86K-01	Central Nervous	TCGA-WH-A86K-01	-9.9658	-9.9658	1.3846	-2.1779	-0.2671	1.9188	2.2931	-6.5064	3.0463	-2.6349	-0.7834	-5.5735	-2.7274	1.8957	-5.0116	-3.8160	2.3048	-1.2828	0.9419	3.0995	-4.6082	-5.0116	-6.5064	4.9869	5.9755	-9.9658	2.5804	-4.2934
TCGA-VV-A829-01	Central Nervous	TCGA-VV-A829-01	-9.9658	-5.5735	-0.8599	-3.3076	3.0723	3.6312	1.8564	-9.9658	4.7893	-2.7274	-0.6193	-4.6082	-3.8160	-3.8160	-9.9658	-1.9942	3.2781	-1.1811	1.1117	5.0985	-5.0116	-9.9658	-3.8160	2.7742	5.3082	-9.9658	3.7280	-3.8160
TCGA-DB-A4XE-01	Central Nervous	TCGA-DB-A4XE-01	-9.9658	-9.9658	-2.4659	-4.6082	0.8726	2.8117	3.4170	-9.9658	4.1482	-1.5951	-0.3022	-9.9658	-9.9658	3.9700	-4.0350	-2.6349	3.4661	-1.9942	0.2522	4.4135	2.0776	-9.9658	-5.5735	4.8694	6.4431	-4.2934	3.8710	-3.3076
TCGA-HT-7860-01	Central Nervous	TCGA-HT-7860-01	-9.9658	-9.9658	-0.6643	-4.6082	4.3910	4.6832	5.7110	-9.9658	5.2736	-1.2142	4.1668	-9.9658	-3.6259	1.1250	-5.0116	-2.4659	3.7688	-1.2142	3.3379	4.8177	2.9839	-6.5064	-5.0116	5.7493	7.6222	-4.6082	3.5633	-2.1779
